sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,context_CONVERSATION,context_OTHER,context_VIEW_BOOTH,context_WALKING
35,7048869,816.5,459.0,3951.0,2196685.0,91.0,,,,,,,CONVERSATION,16487754.25,1,0,0,0
36,454721,-458.5,451.0,4015.0,1947315.5,77.0,,,,,,,OTHER,16533848.25,0,1,0,0
36,1689053,322.5,843.0,4005.0,1815466.0,80.0,,,,,,,OTHER,16854680.25,0,1,0,0
36,3505673,-37.0,247.0,4073.5,2097000.0,0.0,,,,,,,OTHER,16655780.25,0,1,0,0
36,4335554,-504.0,5.0,3917.5,2168197.5,91.0,,,,,,,OTHER,15600847.25,0,1,0,0
36,5578725,363.5,1237.5,3881.5,2114211.0,79.0,,,,,,,OTHER,16729580.75,0,1,0,0
36,6875883,-218.0,1089.0,3886.0,2179096.0,83.0,,,,,,,OTHER,16334441.0,0,1,0,0
36,7206608,213.0,73.5,4103.5,2150225.5,79.0,,,,,,,OTHER,16889483.5,0,1,0,0
37,1102461,-123.5,1848.5,3629.5,2377506.5,77.0,,,,,,,CONVERSATION,16605474.75,1,0,0,0
37,1835713,-115.0,2891.5,3030.0,1873084.5,73.0,,,,,,,CONVERSATION,17554897.25,1,0,0,0
37,4599023,655.0,-494.5,4189.5,2395562.0,74.0,,,,,,,CONVERSATION,18225465.5,1,0,0,0
37,4997970,-416.0,139.5,3898.0,2477392.0,0.0,,,,,,,WALKING,15386920.25,0,0,0,1
37,7084672,-651.5,1557.5,3907.0,2199687.0,69.0,,,,,,,CONVERSATION,18114907.5,1,0,0,0
37,8437908,224.0,-240.66666666666666,4121.666666666667,2399985.6666666665,67.0,,,,,,,WALKING,17096232.555555556,0,0,0,1
38,393686,331.3333333333333,1718.6666666666667,3960.3333333333335,1736674.6666666667,83.0,,,,,,,WALKING,18747837.0,0,0,0,1
38,1622383,692.5,815.0,3965.0,2218175.0,97.0,,,,,,,OTHER,16865006.25,0,1,0,0
38,2219359,1098.0,1191.0,3853.5,2207241.5,85.0,,,,,,,OTHER,17473547.25,0,1,0,0
38,3483402,1897.0,1256.0,3682.0,2174492.5,88.0,,,,,,,OTHER,18733269.0,0,1,0,0
38,4094890,662.0,1256.0,3869.0,2332531.0,0.0,,,,,,,VIEW_BOOTH,16984941.0,0,0,1,0
38,5443650,4.0,1517.0,3798.0,2198250.5,0.0,,,,,,,VIEW_BOOTH,16726109.0,0,0,1,0
38,7496711,991.5,1742.0,3633.0,2064993.0,92.0,,,,,,,CONVERSATION,17216325.25,1,0,0,0
38,8142779,266.5,901.5,4080.0,2113328.5,0.0,,,,,,,VIEW_BOOTH,17530124.5,0,0,1,0
38,8892807,322.0,2165.0,3686.0,2093261.5,93.0,,,,,,,VIEW_BOOTH,18377505.0,0,0,1,0
39,436542,511.0,613.5,4258.0,1937209.0,0.0,,,,,,,WALKING,18768067.25,0,0,0,1
39,1800330,697.0,760.5,4191.0,3234495.0,100.0,,,,,,,WALKING,18628650.25,0,0,0,1
39,2473758,395.5,1558.0,3894.5,3084644.0,0.0,,,,,,,OTHER,17750914.5,0,1,0,0
39,3728658,689.0,936.0,4104.5,2574278.0,0.0,,,,,,,OTHER,18197737.25,0,1,0,0
39,4268459,817.0,1154.5,4022.5,2236466.5,0.0,,,,,,,CONVERSATION,18180865.5,1,0,0,0
39,5522658,203.66666666666666,1199.3333333333333,3969.0,2502333.6666666665,0.0,,,,,,,CONVERSATION,17232841.555555556,1,0,0,0
39,6465349,492.0,-168.0,4180.0,2560771.0,105.0,,,,,,,CONVERSATION,17742688.0,1,0,0,0
39,6812301,420.0,102.5,4139.0,2564156.0,107.0,,,,,,,OTHER,17318227.25,0,1,0,0
40,2260873,365.0,956.3333333333334,4213.666666666667,2166703.6666666665,0.0,,,,,,,OTHER,18802785.222222224,0,1,0,0
