sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
25,2284301,-2489.0,-496.0,3164.5,2129096.5,64.0,,,,,,RELAXED,,16455197.25,0,0,1,0
25,3548437,-2151.5,-778.0,3400.5,2120541.0,62.0,,,,,,RELAXED,,16797636.5,0,0,1,0
26,534520,970.0,-1053.0,3900.5,1988842.5,72.0,,,,,,RELAXED,,17263609.25,0,0,1,0
26,1844606,-233.5,-1122.5,4031.0,1996009.0,76.0,,,,,,RELAXED,,17563489.5,0,0,1,0
26,2496325,-89.5,-598.0,4123.5,2070083.5,73.0,,,,,,RELAXED,,17368866.5,0,0,1,0
26,3800794,-195.0,-1208.5,3985.5,2018520.0,79.0,,,,,,RELAXED,,17382707.5,0,0,1,0
26,4516289,-13.5,-107.0,3843.5,2135455.5,0.0,,,,,,RELAXED,,14784123.5,0,0,1,0
27,1000027,-1105.0,745.0,3971.5,2150918.0,79.0,,,,,,HAPPY,,17548862.25,0,1,0,0
27,1728574,1554.0,1658.5,3411.5,2108495.0,80.0,,,,,,HAPPY,,16803870.5,0,1,0,0
27,2245065,-1224.5,184.5,3965.0,2150092.5,96.0,,,,,,SAD,,17254665.5,0,0,0,1
27,2949561,-225.5,792.5,4115.5,2070988.5,89.0,,,,,,RELAXED,,17616246.75,0,0,1,0
29,449033,451.5,1596.5,3774.5,2188963.5,82.0,,,,,,RELAXED,,16999514.75,0,0,1,0
29,1004605,967.5,1175.0,3777.5,2227636.5,76.0,,,,,,RELAXED,,16586187.5,0,0,1,0
29,4203582,863.0,1454.0,3703.0,2273244.0,74.0,,,,,,HAPPY,,16571094.0,0,1,0,0
29,4858654,668.6666666666666,-443.3333333333333,4012.6666666666665,1957600.6666666667,68.0,,,,,,RELAXED,,16745153.333333332,0,0,1,0
29,6077597,-542.5,606.0,3971.5,2052252.0,77.0,,,,,,RELAXED,,16434354.5,0,0,1,0
29,8661038,247.0,645.0,4017.5,1957892.5,76.0,,,,,,RELAXED,,16617340.25,0,0,1,0
31,2400099,-282.0,1532.0,3895.5,2329050.5,88.0,,,,,,HAPPY,,17601468.25,0,1,0,0
31,4139017,-711.5,743.0,4062.5,2321822.5,85.0,,,,,,RELAXED,,17562187.5,0,0,1,0
31,5384937,-20.5,508.5,4148.0,2290891.0,87.0,,,,,,RELAXED,,17464896.5,0,0,1,0
32,3221240,-1049.0,156.0,4020.0,2109450.0,0.0,,,,,,HAPPY,,17285137.0,0,1,0,0
33,1417882,192.5,1438.0,3829.5,2095020.0,83.0,,,,,,RELAXED,,16769970.5,0,0,1,0
33,1963997,-154.0,677.0,4039.5,2141736.5,73.0,,,,,,HAPPY,,16799605.25,0,1,0,0
33,2633467,673.0,1864.0,3587.5,2133544.5,85.0,,,,,,RELAXED,,16797581.25,0,0,1,0
33,3172923,84.0,946.0,3945.5,2164580.0,75.0,,,,,,RELAXED,,16468942.25,0,0,1,0
34,3182213,601.0,967.5,4014.0,2068934.5,67.0,,,,,,HAPPY,,17409453.25,0,1,0,0
34,3814551,427.0,698.0,4089.5,2081381.0,65.0,,,,,,RELAXED,,17393543.25,0,0,1,0
